Borough,Year,Week,Total accidents,Lethal accidents
MANHATTAN,2014,30,795,1
MANHATTAN,2014,31,857,0
MANHATTAN,2014,32,803,0
MANHATTAN,2014,33,778,0
MANHATTAN,2014,34,790,1
MANHATTAN,2014,35,750,2
MANHATTAN,2014,36,766,3
MANHATTAN,2014,37,813,0
MANHATTAN,2014,38,886,1
MANHATTAN,2014,39,852,2
MANHATTAN,2014,40,793,0
MANHATTAN,2014,41,822,1
MANHATTAN,2014,42,767,1
MANHATTAN,2014,43,863,0
MANHATTAN,2014,44,901,1
MANHATTAN,2014,45,783,0
MANHATTAN,2014,46,811,1
MANHATTAN,2014,47,880,0
MANHATTAN,2014,48,696,2
MANHATTAN,2014,49,927,1
MANHATTAN,2014,50,884,0
MANHATTAN,2014,51,825,0
MANHATTAN,2014,52,594,0
MANHATTAN,2015,1,571,2
MANHATTAN,2015,2,682,1
MANHATTAN,2015,3,750,0
MANHATTAN,2015,4,632,2
MANHATTAN,2015,5,570,0
MANHATTAN,2015,6,712,0
MANHATTAN,2015,7,761,1
MANHATTAN,2015,8,737,1
MANHATTAN,2015,9,493,0
MANHATTAN,2015,10,870,1
MANHATTAN,2015,11,782,0
MANHATTAN,2015,12,692,0
MANHATTAN,2015,13,713,0
MANHATTAN,2015,14,821,1
MANHATTAN,2015,15,753,0
MANHATTAN,2015,16,807,0
MANHATTAN,2015,17,870,0
MANHATTAN,2015,18,872,0
MANHATTAN,2015,19,807,2
MANHATTAN,2015,20,998,2
MANHATTAN,2015,21,811,1
MANHATTAN,2015,22,902,1
MANHATTAN,2015,23,872,0
MANHATTAN,2015,24,794,0
MANHATTAN,2015,25,835,1
MANHATTAN,2015,26,959,0
MANHATTAN,2015,27,782,1
MANHATTAN,2015,28,836,0
MANHATTAN,2015,29,932,0
MANHATTAN,2015,30,821,0
MANHATTAN,2015,31,974,0
MANHATTAN,2015,32,836,0
MANHATTAN,2015,33,914,1
MANHATTAN,2015,34,815,1
MANHATTAN,2015,35,802,0
MANHATTAN,2015,36,767,0
MANHATTAN,2015,37,878,0
MANHATTAN,2015,38,930,0
MANHATTAN,2015,39,749,0
MANHATTAN,2015,40,951,0
MANHATTAN,2015,41,949,0
MANHATTAN,2015,42,839,0
MANHATTAN,2015,43,937,0
MANHATTAN,2015,44,820,0
MANHATTAN,2015,45,870,2
MANHATTAN,2015,46,886,0
MANHATTAN,2015,47,918,0
MANHATTAN,2015,48,699,1
MANHATTAN,2015,49,904,1
MANHATTAN,2015,50,921,0
MANHATTAN,2015,51,889,0
MANHATTAN,2015,52,676,0
MANHATTAN,2015,53,619,0
MANHATTAN,2016,1,658,1
MANHATTAN,2016,2,838,2
MANHATTAN,2016,3,687,0
MANHATTAN,2016,4,779,0
MANHATTAN,2016,5,783,0
MANHATTAN,2016,6,763,3
MANHATTAN,2016,7,767,0
MANHATTAN,2016,8,786,0
MANHATTAN,2016,9,809,1
MANHATTAN,2016,10,793,0
MANHATTAN,2016,11,771,2
MANHATTAN,2016,12,701,2
MANHATTAN,2016,13,881,0
MANHATTAN,2016,14,844,0
MANHATTAN,2016,15,828,0
MANHATTAN,2016,16,875,0
MANHATTAN,2016,17,693,0
MANHATTAN,2016,18,781,0
MANHATTAN,2016,19,833,1
MANHATTAN,2016,20,861,0
MANHATTAN,2016,21,697,0
MANHATTAN,2016,22,645,0
MANHATTAN,2016,23,624,2
MANHATTAN,2016,24,652,2
MANHATTAN,2016,25,724,0
MANHATTAN,2016,26,719,2
MANHATTAN,2016,27,598,0
MANHATTAN,2016,28,703,0
MANHATTAN,2016,29,753,0
MANHATTAN,2016,30,746,1
MANHATTAN,2016,31,623,0
MANHATTAN,2016,32,632,0
MANHATTAN,2016,33,693,0
MANHATTAN,2016,34,637,2
MANHATTAN,2016,35,562,1
MANHATTAN,2016,36,634,0
MANHATTAN,2016,37,713,2
MANHATTAN,2016,38,625,0
MANHATTAN,2016,39,619,1
MANHATTAN,2016,40,619,4
MANHATTAN,2016,41,619,1
MANHATTAN,2016,42,655,0
MANHATTAN,2016,43,671,0
MANHATTAN,2016,44,714,0
MANHATTAN,2016,45,651,0
MANHATTAN,2016,46,730,0
MANHATTAN,2016,47,563,0
MANHATTAN,2016,48,663,0
MANHATTAN,2016,49,690,1
MANHATTAN,2016,50,656,1
MANHATTAN,2016,51,521,0
MANHATTAN,2016,52,451,0
MANHATTAN,2017,1,480,0
MANHATTAN,2017,2,506,0
MANHATTAN,2017,3,506,0
MANHATTAN,2017,4,598,1
MANHATTAN,2017,5,498,0
MANHATTAN,2017,6,485,0
QUEENS,2012,26,101,0
QUEENS,2012,27,750,1
QUEENS,2012,28,672,0
QUEENS,2012,29,758,3
QUEENS,2012,30,737,0
QUEENS,2012,31,721,0
QUEENS,2012,32,741,0
QUEENS,2012,33,675,0
QUEENS,2012,34,631,2
QUEENS,2012,35,742,0
QUEENS,2012,36,701,0
QUEENS,2012,37,818,1
QUEENS,2012,38,706,1
QUEENS,2012,39,750,2
QUEENS,2012,40,747,0
QUEENS,2012,41,736,1
QUEENS,2012,42,797,2
QUEENS,2012,43,637,2
QUEENS,2012,44,604,1
QUEENS,2012,45,802,0
QUEENS,2012,46,744,1
QUEENS,2012,47,767,1
QUEENS,2012,48,708,0
QUEENS,2012,49,826,0
QUEENS,2012,50,726,0
QUEENS,2012,51,807,1
QUEENS,2012,52,634,5
QUEENS,2013,1,600,0
QUEENS,2013,2,685,3
QUEENS,2013,3,705,2
QUEENS,2013,4,733,1
QUEENS,2013,5,711,3
QUEENS,2013,6,758,1
QUEENS,2013,7,708,2
QUEENS,2013,8,614,2
QUEENS,2013,9,654,1
QUEENS,2013,10,789,1
QUEENS,2013,11,718,1
QUEENS,2013,12,747,1
QUEENS,2013,13,740,0
QUEENS,2013,14,688,1
QUEENS,2013,15,763,0
QUEENS,2013,16,702,1
QUEENS,2013,17,731,1
QUEENS,2013,18,789,1
QUEENS,2013,19,725,1
QUEENS,2013,20,792,2
QUEENS,2013,21,834,0
QUEENS,2013,22,798,1
QUEENS,2013,23,830,0
QUEENS,2013,24,764,1
QUEENS,2013,25,768,0
QUEENS,2013,26,772,0
QUEENS,2013,27,736,1
QUEENS,2013,28,746,1
QUEENS,2013,29,838,1
QUEENS,2013,30,775,3
QUEENS,2013,31,738,3
QUEENS,2013,32,725,2
QUEENS,2013,33,701,3
QUEENS,2013,34,701,1
QUEENS,2013,35,645,0
QUEENS,2013,36,686,2
QUEENS,2013,37,791,3
QUEENS,2013,38,808,2
QUEENS,2013,39,777,3
QUEENS,2013,40,787,2
QUEENS,2013,41,778,1
QUEENS,2013,42,722,0
QUEENS,2013,43,843,0
QUEENS,2013,44,804,1
QUEENS,2013,45,843,1
QUEENS,2013,46,791,2
QUEENS,2013,47,840,0
QUEENS,2013,48,834,2
QUEENS,2013,49,765,1
QUEENS,2013,50,881,1
QUEENS,2013,51,906,2
QUEENS,2013,52,634,0
QUEENS,2014,1,644,2
QUEENS,2014,2,773,0
QUEENS,2014,3,747,0
QUEENS,2014,4,850,0
QUEENS,2014,5,762,0
QUEENS,2014,6,931,1
QUEENS,2014,7,894,0
QUEENS,2014,8,770,0
QUEENS,2014,9,715,0
QUEENS,2014,10,719,3
QUEENS,2014,11,699,0
QUEENS,2014,12,718,0
QUEENS,2014,13,757,1
QUEENS,2014,14,764,1
QUEENS,2014,15,778,0
QUEENS,2014,16,667,0
QUEENS,2014,17,749,2
QUEENS,2014,18,819,1
QUEENS,2014,19,821,1
QUEENS,2014,20,750,0
QUEENS,2014,21,764,3
QUEENS,2014,22,798,0
QUEENS,2014,23,853,3
QUEENS,2014,24,776,3
QUEENS,2014,25,881,0
QUEENS,2014,26,882,1
QUEENS,2014,27,776,2
QUEENS,2014,28,776,1
QUEENS,2014,29,763,1
QUEENS,2014,30,768,3
QUEENS,2014,31,773,3
QUEENS,2014,32,822,0
QUEENS,2014,33,746,1
QUEENS,2014,34,690,1
QUEENS,2014,35,795,1
QUEENS,2014,36,793,0
QUEENS,2014,37,857,1
QUEENS,2014,38,824,1
QUEENS,2014,39,790,1
QUEENS,2014,40,855,0
QUEENS,2014,41,776,0
QUEENS,2014,42,816,1
QUEENS,2014,43,841,0
QUEENS,2014,44,842,2
QUEENS,2014,45,819,4
QUEENS,2014,46,805,0
QUEENS,2014,47,828,1
QUEENS,2014,48,755,0
QUEENS,2014,49,778,2
QUEENS,2014,50,828,1
QUEENS,2014,51,818,0
QUEENS,2014,52,692,0
QUEENS,2015,1,599,0
QUEENS,2015,2,900,0
QUEENS,2015,3,860,3
QUEENS,2015,4,716,1
QUEENS,2015,5,710,1
QUEENS,2015,6,822,2
QUEENS,2015,7,768,0
QUEENS,2015,8,785,2
QUEENS,2015,9,583,0
QUEENS,2015,10,978,0
QUEENS,2015,11,774,0
QUEENS,2015,12,742,1
QUEENS,2015,13,751,0
QUEENS,2015,14,728,0
QUEENS,2015,15,591,0
